id,date,election_phase,way_of_voting,voting_intention,party,city_id,city,county_id,county_desc,city_id2,city_id3
9019554,11/04/2008,11/04/2008 GENERAL,ABSENTEE ONESTOP,DEM,DEMOCRATIC,33,SPRINGS,18,CATAWBA,33,33
14508419,11/04/2014,11/04/2014 GENERAL,IN-PERSON,UNA,UNAFFILIATED,H06,H06,65,NEW HANOVER,H06,H06
10061427,11/04/2014,11/04/2014 GENERAL,IN-PERSON,DEM,DEMOCRATIC,SUM1,SUM1,41,GUILFORD,SUM1,SUM1
30275688,11/08/2016,11/08/2016 GENERAL,ABSENTEE ONESTOP,UNA,UNAFFILIATED,903,903,34,FORSYTH,903,903
33745,11/08/2016,11/08/2016 GENERAL,IN-PERSON,REP,REPUBLICAN,20,WEST JEFFERSON,5,ASHE,20,20
62206,11/02/2010,11/02/2010 GENERAL,IN-PERSON,DEM,DEMOCRATIC,19,SHINGLETREE 2,10,BRUNSWICK,19,19
27837,11/06/2012,11/06/2012 GENERAL,ABSENTEE ONESTOP,DEM,DEMOCRATIC,W3,WADESBORO 3,4,ANSON,W3,W3
14492239,11/06/2012,11/06/2012 GENERAL,IN-PERSON,DEM,DEMOCRATIC,PR30,LENOIR #30,14,CALDWELL,PR12,PR12
30231553,11/06/2012,11/06/2012 GENERAL,IN-PERSON,REP,REPUBLICAN,13,HILLSDALE,30,DAVIE,13,13
3809000,07/15/2014,07/15/2014 SECOND PRIMARY,IN-PERSON,REP,REPUBLICAN,39,NORTHWEST,18,CATAWBA,39,39
840837,11/04/2008,11/04/2008 GENERAL,IN-PERSON,UNA,UNAFFILIATED,PR08,BLACK RIVER,43,HARNETT,PR08,PR08
10112388,11/08/2016,11/08/2016 GENERAL,ABSENTEE ONESTOP,DEM,DEMOCRATIC,FR5A,FR5A,41,GUILFORD,FR5,FR5
9931447,11/04/2008,11/04/2008 GENERAL,IN-PERSON,REP,REPUBLICAN,NCGR1,NCGR1,41,GUILFORD,NCGR1,NCGR1
140999,11/08/2016,11/08/2016 GENERAL,ABSENTEE ONESTOP,REP,REPUBLICAN,75,EAST WILLIAMS,19,CHATHAM,75,75
30175827,11/06/2012,11/06/2012 GENERAL,ABSENTEE ONESTOP,REP,REPUBLICAN,35.3,35.3,32,DURHAM,35,35
9024200,11/08/2011,11/08/2011 MUNICIPAL GENERAL,ABSENTEE ONESTOP,REP,REPUBLICAN,06E,EAST GRAHAM,1,ALAMANCE,06E,06E
10197669,11/04/2014,11/04/2014 GENERAL,IN-PERSON,UNA,UNAFFILIATED,063,063,34,FORSYTH,063,063
30033761,11/04/2014,11/04/2014 GENERAL,IN-PERSON,DEM,DEMOCRATIC,02-06,02-06,13,CABARRUS,02-06,02-06
1381050,11/06/2012,11/06/2012 GENERAL,ABSENTEE ONESTOP,REP,REPUBLICAN,ST3,STATESVILLE #3,49,IREDELL,ST3,ST3
9935804,11/04/2008,11/04/2008 GENERAL,ABSENTEE ONESTOP,DEM,DEMOCRATIC,JAM2,JAM2,41,GUILFORD,JAM2,JAM2
7622115,11/04/2008,11/04/2008 GENERAL,IN-PERSON,REP,REPUBLICAN,15,ROBINSON #1,36,GASTON,15,15
30009306,11/04/2008,11/04/2008 GENERAL,IN-PERSON,REP,REPUBLICAN,WALL,WALLACE,31,DUPLIN,WALL,WALL
380334,11/06/2012,11/06/2012 GENERAL,ABSENTEE ONESTOP,DEM,DEMOCRATIC,71.1,71.1,11,BUNCOMBE,71.1,71.1
30204650,11/06/2012,11/06/2012 GENERAL,ABSENTEE ONESTOP,UNA,UNAFFILIATED,05,05,32,DURHAM,05,05
7649543,05/08/2012,05/08/2012 PRIMARY,IN-PERSON,UNA,UNAFFILIATED,46,MOUNT HOLLY #2,36,GASTON,46,46
10198248,11/06/2012,11/06/2012 GENERAL,IN-PERSON,DEM,DEMOCRATIC,16,CEDAR GROVE WEST,76,RANDOLPH,16,16
36866,11/08/2016,11/08/2016 GENERAL,ABSENTEE ONESTOP,DEM,DEMOCRATIC,034,034,90,UNION,034,034
515050,05/04/2010,05/04/2010 PRIMARY,IN-PERSON,REP,REPUBLICAN,PR32,PATTERSON,14,CALDWELL,PR23,PR23
891541,11/08/2016,11/08/2016 GENERAL,IN-PERSON,DEM,DEMOCRATIC,PR16,JOHNSONVILLE,43,HARNETT,PR16,PR16
166065685,11/06/2012,11/06/2012 GENERAL,ABSENTEE ONESTOP,DEM,DEMOCRATIC,G5B-2,CROSS CREEK 28-2-G5,26,CUMBERLAND,G5,G5
30038621,06/22/2010,06/22/2010 SECOND PRIMARY,IN-PERSON,DEM,DEMOCRATIC,09,09,32,DURHAM,09,09
96198,11/04/2008,11/04/2008 GENERAL,IN-PERSON,REP,REPUBLICAN,21,HADLEY,19,CHATHAM,21,21
30181404,11/06/2012,11/06/2012 GENERAL,ABSENTEE ONESTOP,REP,REPUBLICAN,053,053,34,FORSYTH,053,053
243895,11/04/2008,11/04/2008 GENERAL,ABSENTEE BY MAIL,REP,REPUBLICAN,45.1,LOWER HOMINY 2,11,BUNCOMBE,45.1,45.1
30145701,03/15/2016,03/15/2016 PRIMARY,IN-PERSON,DEM,DEMOCRATIC,54,54,32,DURHAM,54,54
331577,11/04/2008,11/04/2008 GENERAL,IN-PERSON,DEM,DEMOCRATIC,202,PCT 202,60,MECKLENBURG,202,202
670683,11/04/2008,11/04/2008 GENERAL,ABSENTEE ONESTOP,DEM,DEMOCRATIC,35-2,35-2,32,DURHAM,35,35
336602,11/02/2010,11/02/2010 GENERAL,IN-PERSON,DEM,DEMOCRATIC,15.1,15.1,11,BUNCOMBE,15.1,15.1
608580,11/08/2016,11/08/2016 GENERAL,IN-PERSON,REP,REPUBLICAN,G27,G27,41,GUILFORD,G27,G27
4992000,11/04/2014,11/04/2014 GENERAL,IN-PERSON,DEM,DEMOCRATIC,10N,NORTH MELVILLE,1,ALAMANCE,10N,10N
166029340,11/04/2008,11/04/2008 GENERAL,ABSENTEE ONESTOP,DEM,DEMOCRATIC,G9B,HOPE MILLS #2-G9,26,CUMBERLAND,G9,G9
65993816,11/04/2014,11/04/2014 GENERAL,IN-PERSON,REP,REPUBLICAN,AL51,ALDERMAN,26,CUMBERLAND,AL51,AL51
9067310,11/04/2008,11/04/2008 GENERAL,ABSENTEE ONESTOP,DEM,DEMOCRATIC,30,SANDY RIDGE,18,CATAWBA,30,30
600039069,11/04/2008,11/04/2008 GENERAL,IN-PERSON,UNA,UNAFFILIATED,P16A,WACCAMAW,24,COLUMBUS,P16,P16
7660352,11/02/2010,11/02/2010 GENERAL,IN-PERSON,REP,REPUBLICAN,29,NEW HOPE,36,GASTON,29,29
245600,11/03/2015,11/03/2015 MUNICIPAL GENERAL,ABSENTEE ONESTOP,DEM,DEMOCRATIC,03N,NORTH BOONE,1,ALAMANCE,03N,03N
142925,11/08/2016,11/08/2016 GENERAL,ABSENTEE ONESTOP,UNA,UNAFFILIATED,PIT113,PITTSBORO,19,CHATHAM,PIT113,PIT113
133176,11/08/2016,11/08/2016 GENERAL,ABSENTEE BY MAIL,UNA,UNAFFILIATED,EV,ETOWAH VALLEY,45,HENDERSON,EV,EV
9865334,11/04/2008,11/04/2008 GENERAL,ABSENTEE ONESTOP,UNA,UNAFFILIATED,07,CLEVELAND,80,ROWAN,07,07
10191268,11/08/2016,11/08/2016 GENERAL,ABSENTEE ONESTOP,UNA,UNAFFILIATED,CG1,CG1,41,GUILFORD,CG1,CG1
7669281,11/04/2014,11/04/2014 GENERAL,IN-PERSON,REP,REPUBLICAN,27,SOUTH POINT,36,GASTON,27,27
10178810,11/08/2016,11/08/2016 GENERAL,ABSENTEE ONESTOP,REP,REPUBLICAN,SMAD,SMAD,41,GUILFORD,SMAD,SMAD
30015072,11/04/2008,11/04/2008 GENERAL,ABSENTEE ONESTOP,DEM,DEMOCRATIC,ROSE,ROSE HILL,31,DUPLIN,ROSE,ROSE
9073695,11/08/2016,11/08/2016 GENERAL,ABSENTEE CURBSIDE,REP,REPUBLICAN,07,ALBRIGHT,1,ALAMANCE,07,07
9806213,11/08/2016,11/08/2016 GENERAL,ABSENTEE BY MAIL,DEM,DEMOCRATIC,G54,G54,41,GUILFORD,G54,G54
7597539,03/15/2016,03/15/2016 PRIMARY,IN-PERSON,REP,REPUBLICAN,36,CHERRYVILLE #2,36,GASTON,36,36
266185,11/08/2016,11/08/2016 GENERAL,ABSENTEE ONESTOP,DEM,DEMOCRATIC,1204,ROCKY MOUNT 4,33,EDGECOMBE,1204,1204
2196950,05/08/2012,05/08/2012 PRIMARY,ABSENTEE ONESTOP,REP,REPUBLICAN,02,BANOAK,18,CATAWBA,02,02
30089113,11/04/2014,11/04/2014 GENERAL,IN-PERSON,UNA,UNAFFILIATED,12-05,12-05,13,CABARRUS,12-05,12-05
7540240,11/04/2008,11/04/2008 GENERAL,IN-PERSON,DEM,DEMOCRATIC,31,UNION,36,GASTON,31,31
7513850,11/04/2008,11/04/2008 GENERAL,ABSENTEE BY MAIL,REP,REPUBLICAN,ST3,STATESVILLE #3,49,IREDELL,ST3,ST3
30094266,11/04/2014,11/04/2014 GENERAL,ABSENTEE ONESTOP,UNA,UNAFFILIATED,12-01,12-01,13,CABARRUS,12-01,12-01
30124506,11/04/2008,11/04/2008 GENERAL,ABSENTEE ONESTOP,DEM,DEMOCRATIC,38,38,32,DURHAM,38,38
109233,05/04/2010,05/04/2010 PRIMARY,IN-PERSON,UNA,UNAFFILIATED,02-07,02-07,13,CABARRUS,02-07,02-07
30274156,11/08/2016,11/08/2016 GENERAL,IN-PERSON,UNA,UNAFFILIATED,43,43,32,DURHAM,43,43
322896,03/15/2016,03/15/2016 PRIMARY,IN-PERSON,REP,REPUBLICAN,13,HILLSDALE,30,DAVIE,13,13
30102676,11/06/2012,11/06/2012 GENERAL,ABSENTEE ONESTOP,REP,REPUBLICAN,04-10,04-10,13,CABARRUS,04-10,04-10
1037335,11/08/2016,11/08/2016 GENERAL,ABSENTEE ONESTOP,REP,REPUBLICAN,S S,SHELBY SOUTH,23,CLEVELAND,S7,S 7
177545,11/04/2014,11/04/2014 GENERAL,IN-PERSON,DEM,DEMOCRATIC,G8B,CUMBERLAND 1A-G8,26,CUMBERLAND,G8,G8
74713,11/03/2015,11/03/2015 MUNICIPAL,IN-PERSON,REP,REPUBLICAN,CCCP,CAPE CARTERET/CEDAR POINT,16,CARTERET,CCCP,CCCP
133857,11/06/2012,11/06/2012 GENERAL,ABSENTEE ONESTOP,DEM,DEMOCRATIC,54.2,54.2,11,BUNCOMBE,101.1,101.1
93311,03/15/2016,03/15/2016 PRIMARY,ABSENTEE ONESTOP,DEM,DEMOCRATIC,01-04,01-04,13,CABARRUS,01-04,01-04
238445,11/04/2008,11/04/2008 GENERAL,ABSENTEE ONESTOP,UNA,UNAFFILIATED,46.1,LOWER HOMINY 3,11,BUNCOMBE,46.1,46.1
34078,11/08/2016,11/08/2016 GENERAL,IN-PERSON,UNA,UNAFFILIATED,W1,WADESBORO 1,4,ANSON,W1,W1
10012615,11/04/2014,11/04/2014 GENERAL,IN-PERSON,DEM,DEMOCRATIC,709,709,34,FORSYTH,709,709
445238,11/06/2012,11/06/2012 GENERAL,IN-PERSON,REP,REPUBLICAN,05-01,PRECINCT 05-01,92,WAKE,05-01,05-01
9931395,11/04/2008,11/04/2008 GENERAL,ABSENTEE ONESTOP,DEM,DEMOCRATIC,G09,G09,41,GUILFORD,G09,G09
9708784,11/06/2012,11/06/2012 GENERAL,ABSENTEE ONESTOP,DEM,DEMOCRATIC,H23,H23,41,GUILFORD,H23,H23
30185422,11/08/2016,11/08/2016 GENERAL,ABSENTEE ONESTOP,DEM,DEMOCRATIC,13,13,32,DURHAM,13,13
702989,11/06/2012,11/06/2012 GENERAL,ABSENTEE ONESTOP,DEM,DEMOCRATIC,43,43,32,DURHAM,43,43
611388,11/06/2012,11/06/2012 GENERAL,ABSENTEE ONESTOP,REP,REPUBLICAN,H05,H05,41,GUILFORD,H05,H05
7648179,11/04/2008,11/04/2008 GENERAL,ABSENTEE ONESTOP,REP,REPUBLICAN,22,CROWDERS MOUNTAIN,36,GASTON,22,22
9981721,11/04/2008,11/04/2008 GENERAL,IN-PERSON,UNA,UNAFFILIATED,G26,G26,41,GUILFORD,G26,G26
218589,11/05/2013,11/05/2013 MUNICIPAL GENERAL,IN-PERSON,DEM,DEMOCRATIC,G31,G31,41,GUILFORD,G31,G31
23856,03/15/2016,03/15/2016 PRIMARY,IN-PERSON,DEM,DEMOCRATIC,15,PEAK CREEK,5,ASHE,15,15
332125,05/08/2012,05/08/2012 PRIMARY,ABSENTEE ONESTOP,REP,REPUBLICAN,03,CLARKSVILLE,30,DAVIE,03,03
6684,05/06/2008,05/06/2008 PRIMARY,IN-PERSON,REP,REPUBLICAN,S1,SHARPES #1,2,ALEXANDER,S1,S1
166052141,10/11/2011,10/11/2011 MUNICIPAL PRIMARY,IN-PERSON,DEM,DEMOCRATIC,G5B-2,CROSS CREEK 28-2-G5,26,CUMBERLAND,G5,G5
9010814,11/02/2010,11/02/2010 GENERAL,IN-PERSON,DEM,DEMOCRATIC,04,MORTON,1,ALAMANCE,04,04
9085535,11/08/2016,11/08/2016 GENERAL,ABSENTEE ONESTOP,UNA,UNAFFILIATED,10N,NORTH MELVILLE,1,ALAMANCE,10N,10N
2482940,11/04/2014,11/04/2014 GENERAL,ABSENTEE ONESTOP,REP,REPUBLICAN,38,HIGH SHOALS,36,GASTON,38,38
54892,11/06/2012,11/06/2012 GENERAL,ABSENTEE ONESTOP,DEM,DEMOCRATIC,PSJW3,P S JONES-WASH W3,7,BEAUFORT,PSJW3,PSJW3
272515,05/06/2008,05/06/2008 PRIMARY,IN-PERSON,DEM,DEMOCRATIC,66.1,SWANNANOA 3,11,BUNCOMBE,66.1,66.1
708686,11/06/2012,11/06/2012 GENERAL,ABSENTEE ONESTOP,DEM,DEMOCRATIC,30-2,30-2,32,DURHAM,30-2,30-2
30287953,11/08/2016,11/08/2016 GENERAL,ABSENTEE ONESTOP,UNA,UNAFFILIATED,25,25,32,DURHAM,25,25
97772,11/06/2012,11/06/2012 GENERAL,IN-PERSON,REP,REPUBLICAN,59.1,59.1,11,BUNCOMBE,59.1,59.1
9792309,11/04/2008,11/04/2008 GENERAL,IN-PERSON,UNA,UNAFFILIATED,EM,EAGLE MILLS,49,IREDELL,EM,EM
49672,05/06/2008,05/06/2008 PRIMARY,IN-PERSON,DEM,DEMOCRATIC,OLDF,OLD FORD,7,BEAUFORT,OLDF,OLDF
1040431,11/08/2016,11/08/2016 GENERAL,ABSENTEE ONESTOP,DEM,DEMOCRATIC,KM N,KINGS MOUNTAIN NORTH,23,CLEVELAND,KM1,KM 1
166130655,11/08/2016,11/08/2016 GENERAL,IN-PERSON,UNA,UNAFFILIATED,G2C-2,CROSS CREEK 23-2-G2,26,CUMBERLAND,G2,G2
310045,11/04/2008,11/04/2008 GENERAL,IN-PERSON,UNA,UNAFFILIATED,10.1,ASHEVILLE 10,11,BUNCOMBE,10.1,10.1
30056393,11/02/2010,11/02/2010 GENERAL,ABSENTEE ONESTOP,REP,REPUBLICAN,38,FALLING CREEK,18,CATAWBA,38,38
30269902,11/08/2016,11/08/2016 GENERAL,IN-PERSON,UNA,UNAFFILIATED,05,05,32,DURHAM,05,05
142333,05/06/2008,05/06/2008 PRIMARY,IN-PERSON,DEM,DEMOCRATIC,H03,H03,65,NEW HANOVER,H03,H03
318274,11/04/2008,11/04/2008 GENERAL,ABSENTEE ONESTOP,UNA,UNAFFILIATED,21.1,ASHEVILLE 21,11,BUNCOMBE,103.1,103.1
9775897,11/04/2014,11/04/2014 GENERAL,ABSENTEE ONESTOP,UNA,UNAFFILIATED,CC4,CODDLE CREEK #4,49,IREDELL,CC4,CC4
30280964,11/08/2016,11/08/2016 GENERAL,ABSENTEE ONESTOP,DEM,DEMOCRATIC,34-2,34-2,32,DURHAM,34,34
3018110,11/08/2011,11/08/2011 MUNICIPAL GENERAL,IN-PERSON,DEM,DEMOCRATIC,15,ROBINSON #1,36,GASTON,15,15
10202823,11/04/2008,11/04/2008 GENERAL,ABSENTEE ONESTOP,DEM,DEMOCRATIC,16-08,PRECINCT 16-08,92,WAKE,16-08,16-08
9119522,11/04/2008,11/04/2008 GENERAL,ABSENTEE BY MAIL,REP,REPUBLICAN,CX,CHEEKS,68,ORANGE,CX,CX
749780,05/08/2012,05/08/2012 PRIMARY,IN-PERSON,REP,REPUBLICAN,COL,COLINGTON,28,DARE,COL,COL
9006933,11/06/2012,11/06/2012 GENERAL,ABSENTEE ONESTOP,UNA,UNAFFILIATED,23,MOUNTAIN VIEW #1,18,CATAWBA,23,23
38919,11/02/2010,11/02/2010 GENERAL,ABSENTEE ONESTOP,DEM,DEMOCRATIC,P30,CARVERS CREEK,9,BLADEN,P30,P30
698464,11/04/2008,11/04/2008 GENERAL,ABSENTEE ONESTOP,UNA,UNAFFILIATED,30-1,30-1,32,DURHAM,30-1,30-1
7674393,11/07/2017,11/07/2017 MUNICIPAL GENERAL,IN-PERSON,DEM,DEMOCRATIC,15,ROBINSON #1,36,GASTON,15,15
30009307,11/04/2008,11/04/2008 GENERAL,ABSENTEE BY MAIL,DEM,DEMOCRATIC,KENA,KENANSVILLE,31,DUPLIN,KENA,KENA
7541747,11/04/2014,11/04/2014 GENERAL,IN-PERSON,DEM,DEMOCRATIC,30,MCADENVILLE,36,GASTON,30,30
9028319,11/04/2014,11/04/2014 GENERAL,ABSENTEE ONESTOP,DEM,DEMOCRATIC,23,MOUNTAIN VIEW #1,18,CATAWBA,23,23
30179589,11/08/2016,11/08/2016 GENERAL,ABSENTEE ONESTOP,UNA,UNAFFILIATED,05,05,32,DURHAM,05,05
9797941,11/06/2012,11/06/2012 GENERAL,IN-PERSON,REP,REPUBLICAN,ST3,STATESVILLE #3,49,IREDELL,ST3,ST3
39826,11/04/2008,11/04/2008 GENERAL,ABSENTEE ONESTOP,DEM,DEMOCRATIC,SURBA,SURRY-BATH,7,BEAUFORT,SURBA,SURBA
